mu alpha beta
2.92457145186942 4.9758726126504875 7.390220741232985
3.043859731255461 5.001505238148119 7.3921624886128185
3.054492458619145 5.032771512628862 8.05761405036026
2.9805712673412943 5.011441939123748 9.138913337422004
2.996309026349228 4.984593853055707 7.069098273917874
2.943156170001716 4.957579377620327 7.196180278316977
3.0508094067551275 4.95154186190956 7.6106152057827545
2.955266764516246 4.923065335079399 7.549850795057628
3.015980361137036 4.963574894651353 8.461644542445999
2.952354485125314 5.050669030155049 8.756086993753646
2.9554447393456944 4.9423231648749795 7.967803879638345
3.0048848627476774 4.946916020511167 8.237207900811205
3.042700889482846 5.00889892812246 7.695675647531313
3.030310898936643 5.026424202824076 8.830841178801336
3.034648061223045 5.045291816169432 8.284244235597022
3.049208829718034 4.983024185990889 8.025449636687291
2.9751358547678883 4.940104281836029 7.087771124832782
3.0324507482713896 4.940407156420461 7.6375300383491895
3.0323129247986373 5.024819394773058 8.732313072725695
2.968548634632872 5.059610471795809 8.41801088793858
3.0064533318931232 5.027913692987276 9.013794906720495
2.97992206811052 4.955457922519818 8.297822474168836
3.0212099073447978 5.042855172177512 7.9996802282234105
2.9565705392705026 4.958560635399122 8.146681956208756
2.9823819014100894 4.9251340556158425 7.200448287799842
2.9847493260637026 4.997832656160134 7.321310952940053
3.001831103472854 5.034350367323955 9.033102832999532
2.986764241653637 5.057896039399699 8.930162463964761
3.0415514353948 5.014638210349256 7.8914870881292405
3.046227684395511 4.980809698362657 7.852505089758456
2.990115425632911 4.922443459727903 7.58278841452957
2.9379582088442997 4.979886247659904 7.935710554327811
2.960716223678537 4.996781342409581 7.4264871223874405
3.0049432093348187 5.061153694133204 8.473512524679425
2.958089030664631 4.936144458360784 7.512874228238995
3.020250762271082 4.952342967200923 8.09513856246686
3.023743047813183 4.951097456430217 7.269816027889221
3.022039523545514 4.942230034684357 7.287422000870228
2.9650238746412656 4.96157666540767 8.254316123765372
2.951844064337805 4.949127594054067 7.79458196347818
3.04332384328334 4.9890528058067805 8.144593107791698
2.9428364672752605 4.974377623484601 7.592422700988433
3.0051008017243452 5.023680525513521 8.94734674584029
2.940149809791528 4.994164084577997 7.777296609445799
2.9414303388367813 5.000052411008552 8.258049172101265
2.9882873917427832 5.048681053270478 8.031480846655677
3.0335557837112628 4.951343136734215 7.693757417193434
2.986635362897198 5.058762508011456 8.373531435892975
2.987571505592415 5.0552476706462075 8.22688775620052
2.9825323124988405 5.0483448385751295 8.049685592822142
2.9628400568414666 4.954882957650905 8.083259487033214
3.038444254677572 4.968474770865983 7.607327429591486
3.006520462029016 4.927932493034165 7.534875241564922
2.9586671339049535 5.044302951628411 8.509814568628189
2.9605878327989883 4.946653426263241 7.341818812665243
2.9684959215509403 5.050493788638515 8.681688791898072
2.955348600993497 5.040530581941568 8.345295800576281
2.9768374343438926 5.03278325996926 7.795301129522394
2.999988691160394 5.012453380648319 7.513658515842588
3.0295595883351503 5.037899795292376 8.251618194637716
2.9506660666035716 4.955901275340249 7.506500402363257
3.03759412877974 5.023847303590159 8.1731555870564
