mu sigma
3.078676323233782 2.759444305341037
2.892519302561098 2.8221144524680843
2.950271746808926 2.8668601365326003
2.960826434427996 2.868328396965758
3.014339508548961 2.8691179334077335
3.036478079746873 2.7431914508193684
2.9422329031714907 2.858704566985431
3.074674657045802 2.8357863387361855
3.086135139396378 2.80258335835415
2.972643735191794 2.740498228039243
3.0789512903128777 2.8199284376564338
2.99742842036973 2.739312439997186
2.9686767981820883 2.7417481397675862
2.904923423811661 2.803197316481981
2.978882496355146 2.863631635018367
3.078493013711234 2.812447610388053
2.9873564371403782 2.742329491377716
2.9100130580191177 2.792176543959943
3.0164395555133305 2.745641709173458
2.958471553841857 2.7489179189767867
2.9211087344787856 2.8288846767954565
2.9168783719944265 2.7845125466968366
3.044604634288981 2.7588597318994252
3.06610805595086 2.7791625863779226
2.971197493343067 2.7477250981608043
3.0723654591778833 2.795699375922916
2.9997376854147872 2.7461933708061483
2.947748013457916 2.7562686368390077
3.0342607638434864 2.849367705549109
2.9260096313333337 2.773641633901807
2.994849070341876 2.7468732040186206
2.9453065845220245 2.845557892665172
3.033519810667788 2.8491304737746233
2.921845715011251 2.7803711485000364
2.9823752947179165 2.748292933724353
2.9180988647429684 2.792614009509713
2.9172697567203794 2.8031568100746846
3.055398932707069 2.771967361897645
2.9482745078513317 2.7595830535976957
2.9377159200753495 2.8369120570300947
3.0127690778926426 2.8522970400355114
3.0487800601211235 2.7676758721348897
3.0108437714017318 2.852482596394438
3.010902418792773 2.7516250368001476
3.0608541120789985 2.8215754498126184
2.94995168859396 2.7603161697180494
3.0235728074032684 2.755054745820739
2.9684267996747034 2.7536872669982007
3.0356955108555974 2.7609656348071003
3.0097294882541754 2.851317714866214
2.9802499328454264 2.8518153201704646
2.9540044674222004 2.7594045878090183
3.0575208016678213 2.8238396807876844
2.9896040304547484 2.751585456556958
2.9343854977815855 2.8303374682671167
2.9919079946466285 2.8521434774388696
2.922166451879469 2.8034918179971697
3.061059579613562 2.7875285995860914
3.0276174217444485 2.758190781222279
2.987317480656499 2.751982515565177
3.0215677531760052 2.7562349532772075
2.9797941574723286 2.752914308842913
2.9896058966117907 2.8514708015644437
2.947191222306937 2.7648578917987923
2.969175220745222 2.8479834728696787
3.0268476040390517 2.758906583911373
3.0319940060641555 2.7614583088063194
3.0110283704133223 2.7547638786442468
2.9875615444367183 2.8503301967617367
3.0578086689505266 2.7853899998840435
2.955854196931595 2.760989643415981
2.9448982113807625 2.767509441032514
3.0570272236089897 2.7846101752530728
3.031140072007936 2.8419731267638193
3.05398012784663 2.8237338199010127
2.9760464042725374 2.7551494873732447
3.0574680408504045 2.7862537600625332
2.9269095473641213 2.810091570853994
2.962931121335483 2.7593638000630833
3.0591633507403895 2.793883906637502
3.053696346121596 2.782447698552783
3.0593453217748108 2.7985973366579273
3.031550546887699 2.763538485839936
3.056775896999642 2.7888736884909915
3.0563270980296844 2.815880846261104
2.9406861187618456 2.830427596266671
3.0171119185202064 2.84533916026232
3.055209058768296 2.8178685058780455
3.055840390724386 2.7877093032245437
2.9405104663837283 2.829692767947459
2.987674355215681 2.755653878731728
3.0015756454412235 2.84751982534271
2.93033217001178 2.813879352112667
2.928119466009322 2.8022574716192654
3.0124752005003073 2.845599820444697
3.0038628489341 2.8470312716741675
3.0313672497144357 2.8386262165695353
3.0334322446646347 2.837495131689866
3.0570304938414234 2.808568845368689
3.0551285271978057 2.7890222453798366
2.9802223315237537 2.756974717423497
3.0458560516592836 2.827707438372529
2.930188908953216 2.8107597468676913
2.9450366681342754 2.7718398730696094
2.9321403161663206 2.7881127996041544
3.0238662560740504 2.762161426561173
3.019580628252389 2.7606577041888314
2.937841110727055 2.824348292053074
2.930376435945787 2.7936527178977566
2.929541960398571 2.8038291600289353
3.0073648532445683 2.845567626283115
3.0303439636234657 2.7653384377942505
2.944862229676506 2.772540313498335
3.0294359663769956 2.8385101828396824
3.0303320130238824 2.765513933556891
3.0534308576483205 2.788203958635908
3.0523593123520563 2.7868302343794653
2.983636689999691 2.845663587107274
3.0229183120124974 2.840819898258567
3.0347819821151862 2.834892060607185
2.9778315466259695 2.758843107997715
3.053344658209531 2.813540700783469
2.9589502923132955 2.8387207106927095
2.993939351809003 2.8458526894466067
3.0153499085010873 2.76046331314167
2.9473953726712483 2.8316297612456633
3.0469532095147445 2.779777093860986
2.9754569440256926 2.759834081104961
2.9315348059313955 2.804556162929531
2.942758653412314 2.776742313616294
2.986908592959398 2.8449088547112247
2.9419877894678335 2.8257951098986074
3.0488810216523166 2.783820269477827
2.9559401949249136 2.8359307572420915
2.9605156390698752 2.7652690216146536
3.0173799422922345 2.841176147110547
3.040421151381227 2.8287981701645575
2.9411226037629583 2.824052533130794
2.9576960262876844 2.766796758762662
3.025062879851853 2.8382161847643212
3.0535898200854024 2.799714903460801
3.0205715650277263 2.8398332538565834
2.9434018494914205 2.826025365351945
2.9824937596938867 2.7596061989704483
3.0225927782053716 2.764409220608885
3.052543850992685 2.7945458291620753
3.0520970682314696 2.7959216590518783
2.9690106174145807 2.763208453456318
2.9420752335751663 2.823264948647028
3.047443719037512 2.8186182556265864
3.011047013327488 2.841577666282709
3.0512445573991758 2.8089676169442397
3.027956076275448 2.768002143022871
2.961244393234521 2.8366216233314634
3.0331963888183866 2.771287852861888
3.001977863545378 2.7607169983811386
3.051110127313674 2.8072498491124156
2.936083375206395 2.810834929846645
2.934699217809472 2.8007297601811243
2.9811540004617414 2.8420434509639265
3.0144091385149494 2.763212197046059
