mu alpha beta
3.031956964087548 5.0742236454128875 1.8915269153727723
3.0540474376007314 5.169097748312011 1.9866729244641779
2.9514125912975193 5.156364244732041 1.9875518090030695
2.9678019915224496 5.22102716575158 2.0463487328689607
2.9037705144229955 4.871010665057724 1.9059119872200112
2.9640160341343655 5.239724998194996 2.124358391513552
2.953073270916016 4.789964852242347 1.8598438621487139
2.9116870765116913 4.868350687517324 1.9119653349020196
3.1416209879357204 4.9807773146113306 1.9602898543899103
3.0433387957589524 5.157738433898625 1.9916058504106662
2.995538778132612 4.8863734582865685 1.9738712767349873
3.072629583073749 5.220743539624414 2.0926591329057826
3.0300887256903906 5.230760043174123 2.127287886074824
3.076944793059548 5.142857631610321 2.101178520600283
2.9266155570156105 5.114107976667329 2.079666864594008
3.034827968392735 4.911673671340631 1.85458325240778
2.898416500945337 5.045417045066544 2.0187987342812943
2.9420292943980355 4.821995597688708 1.8649152700731157
3.092519901779653 5.095623053760977 2.07432524671223
3.061450230169398 4.795065923509421 1.8714406939298132
2.9340015377240416 4.945492741632024 1.9909787537013064
2.945015463859843 4.930155041464591 1.9858336117709963
2.97561767130722 5.013831544037548 2.0498864135190322
3.1237557915053737 5.087437395485484 2.02589490237112
2.94776481921045 4.863566467569447 1.9312183350212582
3.028734499292623 4.799713872271468 1.8407192068633216
3.0917382765853096 5.105262258938504 2.0697324498943424
3.091914252011862 5.05760305651914 1.9488620365925557
3.0633033495172644 5.191622104971657 2.0523238768740875
2.9970552160145165 5.052347728273571 1.9282829955304597
3.0371733790635282 4.8952895827363285 1.8573047980042998
2.929418152248244 4.876184023202449 1.9063320725069277
2.9920120637578895 5.116339103048633 2.0963474441897394
3.0505240085645546 5.09460380829335 1.9592229754992319
3.0681397360783738 5.079768464328988 1.9547661359487893
3.078500664604171 5.171557393483887 2.0484061096211588
3.0245849142119443 4.947388863572084 1.876449409283811
3.0637148752309615 5.176688508972698 2.094022398896211
2.987809155203159 5.002729338551328 1.9042432720284284
3.1147102000826266 5.003136181193537 1.9430570671330325
3.004262693249014 5.179441666262979 2.1121423529174725
2.974491557181189 5.200137296769633 2.065358289895946
3.0997632000765702 4.8904899980896825 1.9244960258361057
3.1179122500254786 4.959267484583399 1.9529106943117949
2.9483386980869355 4.9628807463924565 1.898399870849895
2.920098889880136 5.043306249613752 1.959918346982604
3.078806404219641 4.851565573973828 1.8710627284279944
3.0374583404691506 5.202802665570895 2.097464084259269
2.9610356655677634 4.923707070186881 1.8789307952086491
3.0907413057126036 5.109134535727143 1.994803108105758
3.071764805528251 4.8380683102082385 1.8913804353380284
3.057479684969427 4.963894713824398 1.891166357508649
2.9552322935994852 4.991609546903401 2.019521942927854
3.0190995039088238 4.896518074650201 1.9660876702135153
2.9928389123949843 5.175686714970918 2.0297877666419244
3.0959137890820037 5.006943596753057 1.9310281578547492
3.0234124727786 5.17023348894254 2.0229979650278858
3.0752438782572056 5.07534581849075 1.960787071314187
2.9149773662385963 4.988627061963961 1.9464911988518536
3.0056113440079018 4.809814092598322 1.869738107447099
3.057141984442649 4.887918329795335 1.8663930634470318
3.022117648896621 5.153175188420094 2.007598397829693
3.0767172210161298 5.073454655520832 2.055794648594404
2.9243401066117896 5.0584401349862445 1.9738647518857566
2.9632846356750946 5.097807480316675 2.0737486170664408
3.098374176741816 5.026572860320087 2.016992171664448
3.0454150590866877 5.145856073539779 2.0928499585385705
3.0148812078030147 4.916930552772337 1.8702545609734067
3.0624025545081506 5.165749871802294 2.039398046929505
3.0261351595519876 4.964462531848409 1.8896469963988072
3.1104581866558396 4.964696167811577 1.9572996184230695
3.019932209650151 5.0712140818557545 2.070778948965307
3.032101070390561 5.168151136220096 2.026394656041363
2.9630581496332677 5.085513836724054 2.0677718570678545
3.0969694693839918 4.965155127549438 1.9804791053645021
3.0348789653018367 4.910177996237371 1.869981684904256
2.939808595737064 5.1409880565396 2.0461014573325027
3.051234154162853 4.828700296608309 1.8752313296433996
3.0419612382562016 4.82526001543646 1.8664932766863789
2.9826012053884723 5.069164188062643 2.0659664776886246
3.0611075996036643 5.007234251458053 1.9176207081470817
2.973201389266031 5.050218896804058 1.9402925801622466
3.051036570429624 5.0174976003331295 2.0366420362845705
3.0321154017242695 5.132170888630436 1.993815503939196
2.9928320191989712 5.143491024725069 2.093831948113754
2.9798355904068075 4.9310293466872395 1.9829288558808797
2.925913223189111 5.094774206161404 2.0288951308528693
2.9178300173781286 5.044586988648543 1.9971693901606413
3.0495086193973515 5.128567976057923 2.0836257768734865
3.020156614483653 5.05013387302182 2.0585092671546343
3.0585824873126217 5.090874969595759 2.0676806059311574
3.0557356472820763 5.158245909907896 2.081875017033484
3.0047458741493442 5.06900964752153 1.9480670556252275
2.9194819862519727 5.052547683288378 1.998326342562731
3.0831057545004463 5.086761055221172 1.9812924492571127
3.019488156390588 4.954058536076977 1.8876246834855417
2.9329458631118954 5.111255677600546 2.037533644280205
3.0487005103669507 5.154867459184776 2.085141888609787
3.066527459771865 4.874901048881697 1.876331518446295
3.0170334836905948 4.835966402934181 1.8608360590930073
3.0591234413413453 5.124976563403467 2.076068046208538
3.0171481714314554 5.021360582042192 2.0422161440863196
2.952349458752566 5.149864791669951 2.0425091757071483
3.0317263478784833 5.034611219333936 2.048025477106049
3.101598914975478 5.029003627903423 1.9609205657089626
2.9242998713119697 4.952511222966541 1.942097700817903
2.994681760704902 4.987924326448876 2.021409687792706
3.0173728643150417 5.139099744528537 2.001392705656805
3.060031880378766 5.116944750433104 2.073045135641086
3.0467630989996812 4.965665336025884 2.0041443528870757
3.059144615618604 5.010532842525017 2.027445240737695
2.99709569560072 4.901237519761704 1.8711459159018864
