mu sigma
2.981084937140728 3.6787959800623944
2.934269708309677 3.4816405011654683
2.8999946693046303 3.617679770403039
3.072999688967228 3.646602812923075
3.12155731132393 3.6113674903697297
2.990228227955858 3.482241009588396
2.8909895503190586 3.582584546507124
2.896357846631607 3.5784883861183343
3.0596309562107242 3.492624765181793
3.07749261410827 3.50320780383351
3.084590973473582 3.5070727886892277
3.112320462787077 3.5314538118364656
2.915084463168292 3.603690402449891
3.0168848237964365 3.645397797437603
2.94101684928658 3.5096467864610537
2.9329362086235338 3.620768586615034
2.9509100424570125 3.5042682696982763
3.118026830389342 3.5487617297617593
2.9409280723005637 3.511732858423899
2.9201693180516033 3.533651078906073
3.099959092211555 3.5264197693812505
2.9095585142747815 3.5736928227116382
2.9121687420633666 3.5771585369869414
3.014185280178375 3.4957462797216463
3.1118297256587195 3.5507939928087295
3.113920315294993 3.5651240221189817
2.9511158659086014 3.623827455898982
3.015988171529535 3.6384023626840345
3.056403740881465 3.503903409142368
3.048552409489116 3.5021477733532507
3.0683163954753496 3.5096149588526595
2.9161332044958748 3.557429608939576
2.9422186096976937 3.5199496953922136
3.109463992623796 3.577161027196471
2.953871083561105 3.5140147469265424
3.0415538818285666 3.632635204066082
3.000899280707084 3.6350909764482924
2.9655010067484264 3.626746567707477
3.1061367866813456 3.581527562323811
2.9818674660975564 3.5046758424575724
3.0762100677569286 3.518504804940403
3.0928018676571574 3.6021646210557523
2.9201111647628357 3.5721361152586093
2.9300287926612087 3.597234276690611
3.102879762684191 3.5834538725621674
3.0929030232391117 3.600455420712678
3.0727233385754875 3.617037212657545
2.997116285239585 3.6309164148531496
2.9220894410428944 3.565902766226248
3.0824092338810676 3.525893630640335
2.924250701472466 3.5760704405811556
3.0885655674833314 3.6017625227731855
2.9429275077738963 3.606873239968895
3.049458766757622 3.625226145007279
2.956585463286317 3.518583639726584
3.0546482719548385 3.5120921202766366
3.074536939757557 3.5224606463788763
3.0324039029670384 3.5069241267689084
3.0107705913729443 3.5056241302123077
2.9665936142715554 3.619138669492567
3.066562006218008 3.615680517401498
2.9289947962814216 3.580970185677153
3.0870200817490807 3.5988875076492577
2.9989091059007316 3.5075605504960676
2.951039708472994 3.526348371128779
3.091592335234634 3.589935432422041
3.0252488894177327 3.6264555780542027
3.0025388549955805 3.508244820381254
3.0662591330267794 3.5212843486137775
2.972166843732755 3.618965058944345
2.971158183866898 3.618262593835953
2.9299422384237994 3.5699022217058944
3.0954959302012903 3.575368428526558
3.072238356068562 3.608106218774307
3.0938231842221455 3.5556769505807444
2.950204067529528 3.529832689247847
3.0003912363728653 3.5097836858151465
3.048226239937894 3.51491883014765
3.0898425409137014 3.5874997044495647
3.0868659501311524 3.5423703067085857
2.9848521021689707 3.621447800367843
3.069273244989206 3.6092799711980645
3.0644659288570386 3.6119411717621617
3.0705121584394437 3.5266176973695513
2.9330964896035083 3.5581454855149186
2.937928728994594 3.545958457467501
2.9328769331056286 3.5741793598891713
3.071785473267626 3.527998201612681
3.092988623544489 3.55859123686119
2.939258825176267 3.5445619349914987
3.043475957342217 3.6199981437979725
2.9455527066914016 3.5364924017977084
3.0836188148974992 3.5405007349629396
3.0696596272054095 3.6069997389412634
2.969263451984122 3.613808307093118
2.942250114799178 3.5917152548861915
2.9901411186071805 3.6204407813078228
3.0326959339032684 3.621018651260589
3.076023393364043 3.6003917219344532
3.017568333160963 3.5121452688422625
2.977808926659348 3.616265978806235
3.075580175856827 3.5344745694490327
3.0889618753288866 3.5795590922546876
2.9378245499911646 3.553732679994912
2.9602977415099083 3.606974323472329
2.9627604991139695 3.5259446615742718
2.949492992299594 3.5977140822762443
2.9510597535862333 3.535378286335997
3.0425731016845257 3.617298780312377
2.936880204834601 3.56979875116725
2.953705911617275 3.6010970882309397
2.9684041140943354 3.6103410057241625
2.96487301869543 3.6082326343034588
2.978914140288458 3.614690945401813
2.939926106656532 3.5799838158352664
3.056025389865261 3.6110107577849537
3.069373426292784 3.602681720668465
3.016075827119481 3.6201295181129263
3.0533976862169787 3.6117709803917775
2.9805860956685075 3.5195693947617404
3.0381053860604776 3.616978599501095
3.0867481505093854 3.576348784720811
3.002876067133502 3.619433067218241
2.989561385360386 3.6170073846127373
3.0867526421500227 3.574641911156553
2.9482215318159914 3.5925674391983926
3.0853911218996117 3.555490285005839
2.9446115910394957 3.54743891270917
3.025279782179541 3.6187798472188186
3.075041020593777 3.595900779057499
2.9446264239452087 3.5484775687147065
3.0103977221995204 3.6189454762692126
2.940148157104514 3.563549046152095
2.9695091979596846 3.608611222430011
3.0856870506666505 3.5611515879005964
3.083461123517509 3.55334442018874
2.940343395795224 3.570794425491904
3.0321094435349254 3.5173340059985945
3.0804014656411804 3.5475398874334276
2.9862888972233192 3.6148710272330433
3.0159348400310604 3.6183347771197507
2.9438774970502464 3.5819499528413337
3.0643645930044823 3.5311140805568386
3.0839464181381193 3.5766698628625804
3.0161437637984765 3.617973833610862
2.9597466565233006 3.6013113333234448
3.081876236295102 3.552405538066804
3.0326689491794028 3.5182737169219624
3.0788787237060693 3.5870894788523584
2.9652158744539827 3.6046196035542972
2.9614789779088797 3.601966189900029
3.078091038868602 3.546522455892406
3.0355430718517233 3.5194237453766575
3.0839747889914526 3.564992760283473
3.081760056491716 3.579546630585066
2.9669338234262765 3.5293858383076824
3.083507939370331 3.5639859359878217
3.0308917518540035 3.518976396208593
2.946867538800425 3.5506879326505936
2.943985580238815 3.558866326222738
3.0648645227114506 3.600323889550028
2.9660297703188405 3.530754078432153
2.9491239344429 3.5863662577052633
3.0523918901178853 3.6076986414381276
2.9452072257318624 3.5770474562409422
3.0608198963654547 3.6026541995742956
2.9962878469623626 3.5198041022724547
3.0225413738487603 3.518797022973092
3.064284806556052 3.5994432093048268
2.9606031021423496 3.5981729862710363
3.0189597585066914 3.6152023924739978
2.9657855203262113 3.6018287364306127
3.0349447116334756 3.6127526690905536
3.000269691288218 3.5197133985103397
2.9476625728110735 3.579862932424724
3.0194414261779996 3.519266648950338
3.0244119878148568 3.614266728384457
3.057292002211753 3.603164755145194
3.0279405740729177 3.520509332697798
3.0691566138262982 3.5406406171258786
3.026915686104063 3.5204105708539286
2.9461463101426832 3.5701843626100196
2.9492215908779245 3.5526423099730913
3.059063254000547 3.601630950153054
3.0779807885789396 3.5779727940015675
2.99528253772806 3.5216893198621717
2.9770917323441455 3.606514681472621
3.016335332029962 3.520218230988468
3.007975546141722 3.5203507049315212
2.947060688201571 3.565138947683023
3.050073275932969 3.605781479427334
3.0721258928285233 3.5464696515510514
3.0374870235357694 3.609898480158804
2.9818685236953657 3.526499849371294
2.969211149044017 3.5329699857514196
2.947996136607039 3.567684276041433
3.0722662096651074 3.5861329441913004
3.077851216135248 3.5706383051557418
3.029217911468514 3.611379153252321
3.000210601176139 3.522125607224811
3.03944778832531 3.525232688597156
3.000952824353721 3.6118133095180065
3.0449222321081573 3.6066813856704933
3.029212795431927 3.610947713634907
2.993325531888188 3.6099854890583547
2.9792457731066757 3.6051072887229054
2.9971927336631907 3.523371045176619
2.9496848520017753 3.5638433232543774
2.951929337649248 3.5791533720949826
2.9608617972241404 3.5415471037592243
3.0653270040958702 3.5415814065374533
2.9680594702507084 3.59848040444738
2.9505578866412376 3.560161433472728
3.044603970668584 3.6058597669657426
3.018673511847358 3.6114659532413413
3.0313238832910345 3.609676699571386
3.053196017257 3.532524616869131
3.036640770165326 3.608328587658234
3.022187639813483 3.6110070083595796
3.0464622348927723 3.5292107656081133
2.9508252951751794 3.5608716043318953
3.0746241111090304 3.5765304387784784
2.995065310693179 3.609562412271443
3.075593664587518 3.562709565359545
3.0108105402686975 3.522732271847958
2.965581203772538 3.5383510962034337
3.0379278692414187 3.5264132042349514
2.9543130574997716 3.55222313135277
2.991028384189893 3.5256702079806694
2.976362343017237 3.602608294173625
3.070334839474764 3.584652757290306
3.069003956854668 3.547412409517024
3.0358049159237996 3.525885644920701
2.9803434522547523 3.5295267597789515
2.987074743250708 3.527024299193722
3.010525345277234 3.610843269676889
3.0545147466949256 3.5995903505813915
3.023635865114228 3.610004020476161
2.96855337334186 3.5367683268433057
3.0644082314710013 3.5912747866358927
3.0714638044358193 3.581166014203765
3.0731554566608605 3.557451358813077
2.954146543190572 3.5792415529160495
2.9898238074463386 3.526762428368531
3.0708003101023755 3.5521458364723237
3.0693551773818664 3.584216829015332
2.967830614631488 3.5960300858499217
2.9799904193179696 3.5306502692461024
2.965225752647354 3.5402056517249694
2.9705224602107223 3.597793525868227
2.9570991429939335 3.5839505771824993
2.963760749552886 3.592244502359318
3.0418150007890072 3.6049661072529204
3.021930047245573 3.524379693875269
3.014196588983518 3.5239343358481157
2.957420418551523 3.584028674314557
2.9828237698290443 3.6040299103116933
2.9560418149715817 3.55268358515192
2.9641877095140563 3.59216331954939
3.0531365532717505 3.5988741818804755
3.0635604627939244 3.543587947086246
3.0493742629299154 3.5329896851174123
2.9534562237560458 3.562272600874458
2.976806125890448 3.5332272525078627
3.0289072387468616 3.526026919604421
3.070312992123045 3.5793535952097653
3.0565674291748 3.53795708455825
3.013345909335107 3.5246855863284288
3.011904366569434 3.5247117028753467
2.9973685585153125 3.5262220266287185
3.0660015838596477 3.547419008280073
3.072257696372171 3.5723178906521587
3.065626150386789 3.586858753866397
3.0717614492676617 3.57437351809181
3.067995913334056 3.5507191699898315
3.047508424242142 3.6012206953757007
3.063588092711045 3.5447412948236945
2.955937178900347 3.5782808338965175
3.0152219370642728 3.6088574336677275
3.0723007846357886 3.5698913008712925
2.9896620691377236 3.5284259699394305
2.9712469786713447 3.5374470781513705
3.0281315466347603 3.607133214312176
3.070653899365747 3.575697110691503
2.9688265357752663 3.5942583387887965
2.95900913648678 3.5507885718416308
3.0622325475475574 3.544098262941438
2.9602509232510243 3.5849753103640603
3.0332113346390006 3.5278743523914957
2.994043266011674 3.6061175391401328
3.0658761475012826 3.585059678842037
2.96913068895274 3.539655665412127
2.9607787708102724 3.58542051516048
3.071680083207001 3.566778274704468
2.997759151275763 3.60680519184573
3.0714226519108396 3.5702493140426106
3.0669144475239305 3.582904081463663
2.9979180998949944 3.6066709405928754
2.999249878796844 3.606891457825108
3.0216596982015345 3.5261509421683805
3.069566695318623 3.5770989004134486
2.9996827750271877 3.5268789105328304
3.0710963128015716 3.5705193529730512
2.9554380005115872 3.5624263397876836
2.9559586120986325 3.5735867715468013
2.9612747240613584 3.5851557836492187
2.9559541123934343 3.5733723254641463
3.048728921164787 3.5991519958155314
2.985934291216093 3.530876286644688
3.0694887818286882 3.5758687755908802
2.9555386781441855 3.5691467092446287
3.06990657662995 3.5740722767131117
2.970848967492729 3.594574461033573
2.965426897170242 3.5441664695207633
3.0175635706196196 3.5263171906518123
2.9676356021918524 3.591774324450707
2.956422081598638 3.5734430058049
2.963471611610484 3.5466122952683925
2.99540655806961 3.5283899320855716
3.0327344874760853 3.6048924012787884
3.0588440952731135 3.5911903060438433
2.971817034907552 3.5947559339549007
3.0697792765454612 3.571831276963109
2.9613954076813522 3.583807966165592
3.014216629498873 3.5266974159150495
2.960536377768286 3.55197214196282
2.9568366215496535 3.571447166532298
3.027089213531381 3.6056838551606996
3.0382559432511163 3.5309904297109505
3.0638082071297763 3.5490944969928133
2.9945039549531502 3.5291987532360602
2.9630650023540324 3.585220324515455
3.02223647649188 3.6061997401279595
2.9569870841221686 3.567317020007068
2.973092241634059 3.539080940177862
2.98208922360006 3.5998881095025954
3.0690108460770684 3.56379355502352
2.971845242852691 3.5401507693315226
2.971691057902715 3.5403607761509033
2.972646354713942 3.5396973741341133
2.9930935977667557 3.5300139157502795
3.0215407193579087 3.5278669885906853
3.0222174359732885 3.5279461278421897
2.9901564051384018 3.6027759644312507
2.9935500203529735 3.603699680674172
2.9588749500375022 3.558521954240405
2.9721224085324223 3.593368276741856
2.988823660785962 3.6020690159888034
3.068544520028068 3.567573669306057
3.0532521453169688 3.5399515689704817
2.979029265885721 3.5975750064797944
3.0126070848248525 3.527804554814171
2.9640275548078505 3.549110365248423
2.9612735131929306 3.5801199053600543
2.969175391027159 3.543377865308777
2.978683362287921 3.5972069801830955
3.054110988107939 3.592747398978364
3.0655213941761117 3.5785501750841533
3.03260844411325 3.6031412370775726
3.039786421956144 3.5329323905015038
3.0542365636995195 3.592552281369179
2.9827404073772534 3.5346399040628054
2.9597971216656016 3.558337275494667
3.056439563345533 3.5904831065688962
2.958573137896325 3.5653980204330433
3.0520167053113783 3.539728785286824
2.9621078125494393 3.5533204315143356
3.062419257142704 3.5504139902903638
2.9628599249812866 3.5521023110915584
