mu alpha beta
2.992786565315603 5.127329647864988 2.015255757542474
3.078850747694338 5.004673399213089 1.9740898840657772
2.9890112540063067 5.0560760607929565 2.04089654592104
3.0469397126588733 4.98726689340591 1.958882199078791
3.073147090279964 5.078675533894059 2.0175283249677314
2.9969548052844206 5.016603329357938 1.9500933409085053
2.96619926788816 5.001473682290152 1.992339366637387
3.005288329382286 5.0768662168245795 1.983457583507448
2.9976261310927965 5.117112028005847 1.9976259588669378
3.0007037918128385 5.142097608818273 2.0478338083580154
3.0299781388151876 5.02259331140856 1.9417254803209392
3.0308458171159702 5.074385308532167 1.9768550127201372
3.029306251222291 5.073890891178326 1.9811373342562766
3.0735026001274033 4.850368549001996 1.8549028088521555
3.032280727001178 5.022421540397999 1.9742263965091296
3.0288832149108305 4.964098175735815 1.9173514309231972
3.0192607089231487 5.0219783417317805 1.967901792259441
3.1053651006058973 4.996704134470848 1.9655203777506638
3.0031793782006315 5.037527290477685 1.9739344331925668
3.001587624805719 5.003961671733737 1.9656834256993603
3.083486611442601 5.043990920864716 1.99954481477037
3.083486611442601 5.043990920864716 1.99954481477037
2.9871963271167137 5.19390995590465 2.067463084495196
3.0393234247471965 5.107717293326694 2.0474651766840584
3.032010102881652 5.020331692421249 1.9854571114662651
3.057717922388285 4.914762810745257 1.926342995835979
3.0792158183136804 5.025766335494477 2.0000555559884345
3.0403969137485145 5.066257210371547 2.0314803534727046
3.0801175230724676 4.987974656148877 1.9604783257216936
3.061287728087019 5.085424160461051 1.9970067047407223
3.001813420333059 5.008557738469734 2.0180392148598916
3.0253075778957346 5.068051025500022 2.0015387443875174
2.998906345105847 5.048356315663806 2.025088103730152
2.9807826359451886 4.892523678345437 1.938826447490655
3.027930181231399 4.937771270429573 1.9681160521112187
2.9921293972798333 4.979656497528475 1.9493576185564991
2.9966674235069943 4.980478906065272 1.936159391045728
3.0446385003066507 4.926256095268572 1.9570247389913036
3.0295402555447817 4.978505763487289 1.9832169830436424
2.969140825171261 4.871950974972863 1.9049949706555858
2.9939599374862063 4.913222426615327 1.9561144157315762
2.9919301515762347 4.952780841883708 1.9372703928892003
2.9928198056442525 4.980911807115585 1.9993837943232384
3.050175989071632 5.002002417474403 1.9191238313546841
2.9538825670427307 5.028093687788288 1.974477962111142
3.0245575204689756 5.024804601458799 1.992771858740358
2.9984053550719607 4.899508686489334 1.923402384430231
3.0253084203183493 4.943030292066107 1.9632168260504885
3.0207378845658255 4.941708623322823 1.9769675560345723
3.0431828603944737 5.082082529264721 1.9916897750903089
2.9344048613778804 5.070519400401039 2.014342261205446
2.9938428759035935 4.967683315460825 1.9058713957123117
3.046506502187463 4.973032298717557 1.956208797316683
3.055994729561743 4.831154249866055 1.8631532041991568
3.017035987580928 4.968810352694128 1.9427454476193653
3.017395081484206 4.986909056047516 1.9122684361063953
3.033399741910692 4.921325851581024 1.942833530883722
3.0331285902822214 5.124292737382871 2.0769162539607238
3.0392004819660303 4.893910717890411 1.862801360449863
3.083870473238111 5.063199336004177 2.0014727735470736
3.033797831277596 5.045824225940456 1.9886932003355158
