mu alpha beta
3.0165551072017984 5.00409781781679 7.717410438023989
2.998693513211278 5.001353973433757 7.783163431153217
2.9675624402986767 4.977496633144502 7.643017595584762
2.982866524445986 4.980279272879955 7.85147646354536
2.9792286911130246 4.970507760536171 7.724810648548592
2.9685145797012322 4.980566454802344 7.771759869712793
3.01556675177635 4.985103125710946 7.598909464011851
2.99017615828568 4.951904546781512 7.654880969672051
2.984064264280825 5.03415328807095 8.318386937407512
2.9770962791319167 5.029413130071381 8.426345527078416
2.9816395937242204 5.00108809576992 8.058620363089021
2.9802519768688205 5.027269947841175 8.499725386480529
3.0098244643359156 4.997817858688022 8.07392022563474
3.003278495782747 5.005980385816802 8.039182887405845
3.028574219285213 4.954078316037221 8.17738543241189
3.010228081116114 5.00096443886749 8.344291562660427
3.0145912000233888 4.9970466444400055 8.37508993357529
3.011845279224923 4.991259473170258 7.719718383796686
3.00896750478421 4.971872101137774 7.9205146737834875
2.959597786636113 4.993024110125075 7.622429686335311
3.0101762040535256 5.0052418249509465 8.004677187951337
3.022832684494132 4.998399514353 8.381010601617973
3.0179248355927215 5.000916579645599 8.248673441486314
2.9941967085331593 4.940228952535026 7.516278746453379
2.956115022421501 5.046439003565554 8.354367814984474
2.9856828293513122 5.048725363462807 8.606605364780215
2.9605855524043716 4.962650543815411 7.903732149190215
2.9667313853734223 5.003739813193097 7.961363596418857
2.963215916434942 5.007045957300969 8.049410560020437
2.9611313456029467 4.982534920042083 7.7515569450882325
2.9663268096842677 4.996220338033783 8.094779097388143
3.0044545598859824 5.0170133817769 8.30864645662658
3.00140300707461 4.999815302935145 8.61114367581275
3.015964497722711 4.997895738254151 8.014621085549512
2.9851938145531904 4.999964380593175 7.92896215245125
2.977043167174852 5.0000955984107796 7.847703697777707
2.9829158779133804 5.04210052335784 8.573419950735769
3.00625023001674 5.006952219471954 8.227402186294318
2.993221112657218 5.023603546989191 8.188504019873559
2.994009434006589 5.022050081811425 8.214288466440927
2.9622170459088744 5.006875595361976 8.332069652147768
3.0160801945690743 4.994706124886104 7.833050570983568
3.0152323702074444 4.991141838750985 8.199743204833528
2.9852671851274484 4.9525095507545425 7.909241370053112
2.9786400276578333 4.989171988001485 7.863712114477251
3.048694004178987 4.990520814514069 7.859694634252321
3.0277223624652883 4.990070976966016 7.964221284174721
3.0214936501573173 4.9741356828261765 7.798393884581693
2.9692222862597912 5.0123100006993315 8.315480489263113
2.9847366796987225 4.988161575170814 7.471364927181966
2.9962448127639747 4.9501862859501795 7.384579884856096
3.018509564307113 5.014690253770009 8.35418688462693
2.965626785965744 4.990172470235976 8.126697543032488
2.954208179647213 4.974338353621891 7.287394667729938
2.994686091470608 5.00626469577514 8.170241842612432
2.9840643032185037 5.047508150941396 8.641120790996501
2.987218403450827 4.9908946614471015 8.211009801045524
2.9577580822850953 4.948051935623438 7.598102860757385
2.9570808315597326 4.977688148745968 7.561769467180638
2.9908079869230733 4.979798286544122 8.013060513685545
2.986496752930861 5.000427372414185 8.365211881812845
2.9676921912840335 4.96469279232177 7.8022220685507016
2.989268626008315 4.9901678005259145 8.349684036853281
3.0004559090702307 5.034126919469688 8.210720567793677
2.9855507508305905 4.976218472855015 7.479961016792295
2.9968158623182504 4.981303986464119 7.678969389001406
2.9691527003202323 5.020150815184285 7.902648153139475
2.987082405045625 4.989711907908256 7.9895818887141985
2.9717003845752408 4.9697391293505575 7.7326609280515575
2.9972621914689856 5.051104501256576 8.436304650019267
3.0016726672797502 5.008670354496902 8.586561374991785
3.0196086282967816 4.988576565760699 7.756791202334798
2.9706196201710164 5.036438179195248 8.657554252249408
3.031420821555418 5.00517215253485 8.537975323942833
3.018818626520092 4.979422946104032 7.8841116914281315
3.030608044754229 4.973117615286676 7.7389969490749895
3.003931043403911 5.012163256607459 7.792999210871993
3.002101111216624 4.979066826346958 7.69395504710502
2.9815707529242292 4.978587272113703 7.947617626378397
2.980882684806856 4.98936769390377 8.125165745878768
2.9924660630458777 4.958052765385298 7.729445233707309
2.9801700602555883 5.018140654016322 8.450357528256937
2.980247796100719 5.0026162841369475 7.646449043082362
2.979662649758124 4.985934151592536 7.852307611331478
2.9814634856559787 4.983127273065461 7.826996864203155
2.979423206884503 5.009503995589283 7.91810414633114
2.9947580663073934 5.030440676624225 8.324119130268512
2.9935053349356786 4.965841395905281 8.165823603508198
3.006725913686774 5.006164340158373 8.273779060032613
3.0138789710477387 5.002043597541613 8.26133430727639
2.9860937024271386 4.997015966888018 8.434529446253752
2.9666158587758877 4.996419770792696 8.177229403598565
2.988031222135582 4.996011832344749 8.396378123093273
2.9860321669421137 4.980192137780097 7.891075761298108
2.9903468718383865 4.985285040472651 7.917493818998171
2.9905439079990996 4.984649172317891 7.950179094072776
2.989489212900482 4.987645952397254 8.04413908798046
3.0074415611628886 4.9735960257712195 7.711981148585628
2.9560053064672034 5.004776092277821 7.93281548047475
3.006602513767413 5.0199995129568835 8.331825239536945
3.0112858009627694 5.014232630063449 8.247007039031132
2.9816295085606193 4.9933408444191665 7.9170356722790345
3.0032757217787385 4.963475747966836 7.447087274790652
2.9957211135207586 5.0407006371666006 8.223193242009511
3.003046000863368 5.0063972796693035 7.707539089844928
2.9911207546738687 5.016490359799412 7.839436695990284
2.992068435565969 5.005085200800919 7.859506416109603
2.9840484893420256 4.989553683560059 7.798679809788172
2.983414713885327 5.018240751080348 8.191970049798945
3.0235247295231886 4.990099876433559 7.751405957319161
2.988632983618977 4.9568423298251645 7.581546260972193
3.0186727223409178 5.024725896385879 8.193191014604631
2.9889063036360173 5.022455366935113 7.920981333221652
2.995823924480965 4.982822061749649 7.825366573733951
2.992210895406662 4.986077492818504 7.758075586782281
3.0000611164475406 5.03523218772774 8.297469440122473
3.0105677612602806 5.047241637123118 8.655335647665206
2.989899418308087 5.0194951835814905 8.421973167473162
2.9673877265010393 5.016053329872571 8.363780827871134
2.9758145224146126 4.976676702988965 8.11144598204451
2.980257934692899 4.9865332768606185 7.988011729069044
2.9882164541655665 5.012339389240979 8.198259709328628
2.986241125762046 4.9748534325181595 7.653741196381485
2.994397381131797 5.029821720805849 8.51071450926996
2.945738821309631 5.0732244475535 8.828804190312441
3.0133207421423527 4.989550372134121 8.024139944414632
2.984183778448936 4.967849538805497 7.8165216537812565
2.9875733696319657 5.015081892631342 8.30516992150608
2.9786027990076493 4.994387239324942 7.966586119381769
2.9518408472277655 4.991515503235623 7.706748302828972
2.9869490491053785 5.00031893021238 8.177865777340635
2.9887659215888394 5.004637450544055 8.304966347825962
2.995645697803175 5.000983570564225 8.354078109767554
2.9734933021156857 5.031460615826929 8.53770412468226
2.950733385004863 4.980884608402862 8.038314200149474
3.009820844305189 4.955494820784674 7.750296184191843
2.9877105883948842 4.973143484076915 8.118715315211013
2.978884151091614 4.993264807552851 8.099693844220601
2.9639865116192308 4.921469042189949 7.717947101128821
2.943688811636809 4.979723735266836 7.639737840305882
2.9812057126535025 4.985618452693383 7.716393555377793
2.995512947973844 4.977051606171731 7.663781201657315
2.9921916614026447 4.990789655536398 7.706794176164015
2.967167613531839 4.965010515626368 7.947693741519639
2.9884058786013004 4.959687503417129 7.6857922634422975
2.970956992278543 4.988886191395397 7.8220563091754105
2.9892182177335576 4.9981344119245685 7.998953815358252
